date,open,high,low,close,volume
2026-04-21,16.71,18.36,16.71,18.36,1475031
2026-04-22,18.7,19.79,18.36,19.49,1396750
2026-04-23,19.19,19.19,17.9,17.95,142867
2026-04-24,17.76,19,16.9,17.35,1015570
2026-04-27,17.04,17.5,16.7,16.8,63099
2026-04-28,17,17.8,16.55,17.63,630405
2026-04-29,17.31,17.32,16.51,16.73,26061
2026-04-30,16.49,16.99,16,16.24,45711
2026-05-04,16.8,16.93,16.25,16.49,71523
2026-05-05,16.6,16.89,16.2,16.59,79596
2026-05-06,16.27,17.65,16.27,17.51,147171
2026-05-07,17.98,18,17.01,17.49,94546
2026-05-08,17.98,17.98,17,17.54,85850
2026-05-11,17.03,17.7,16.9,17.04,140095
2026-05-12,17.7,17.7,16.52,16.6,550743
2026-05-13,16.26,16.9,16,16.07,137680
2026-05-14,16.15,16.9,15,16,840327
2026-05-15,16.03,16.6,15.53,15.92,9729
2026-05-18,15.39,15.95,15.25,15.6,6553
2026-05-19,15.6,17.15,14.5,16.42,10564487
2026-05-20,16.53,16.79,15.12,15.64,272944
2026-05-21,16.25,16.86,14.8,16.53,488982
2026-05-22,16.49,16.7,16.05,16.57,41520
2026-05-25,16.5,17.48,16.3,16.62,383969
2026-05-29,16.79,17.5,16.25,16.65,100648
2026-06-01,16.2,16.7,15.8,16.24,42719
2026-06-02,16.37,16.7,15.95,16.1,57817
2026-06-03,16.2,16.2,15.9,15.91,18946
2026-06-04,16.01,16.29,15.4,16.04,21189
2026-06-05,16,16.8,16,16.59,108576
2026-06-08,16.02,16.8,16,16.49,71315
2026-06-09,16.6,17.5,16.59,17.01,187715
2026-06-10,17,17.51,16.8,17.25,219063
2026-06-11,17.24,17.25,16.81,17.19,4463
2026-06-12,17.5,17.5,17,17.19,357477
2026-06-15,17.5,17.9,17,17.13,406185
2026-06-16,17.14,17.47,16.5,17.28,902314
2026-06-17,17,18.79,17,18.25,2613553
2026-06-18,18.5,20.08,18.25,20.08,3093712
2026-06-19,20.58,22.09,20.5,21.64,5989714
2026-06-22,21.38,22,20.3,20.55,1763836
2026-06-23,20.85,22.2,19.81,20.2,4017341
2026-06-24,20.7,20.99,20.05,20.66,376024
2026-06-29,20.66,20.9,19.9,20.34,281997
2026-06-30,20.73,20.73,19.95,19.99,188562
2026-07-01,19.95,21.79,19.1,20.49,562557
2026-07-02,20.83,21.65,20.35,21.53,361912
2026-07-03,21.53,23.68,21.2,23.68,3777001
2026-07-06,25,25,22.5,22.86,3028058
2026-07-07,22.12,22.9,21.55,21.95,789432
2026-07-08,21.99,22.85,21.3,22.04,1071377
2026-07-09,22.45,22.98,21.8,22.53,1262169
2026-07-10,22.94,24.78,22.61,24.78,7697781
2026-07-13,24.11,26.7,23.82,24.75,4152131
2026-07-14,24.5,25,22.4,23.61,1548892
2026-07-15,23.75,25.74,23.75,25.03,1647943
2026-07-16,25.03,26,23.9,24.14,1188796
2026-07-17,24,24,22.4,22.54,1630332
2026-07-20,22.01,22.4,21.5,21.65,437566
2026-07-21,21.89,23.09,21.75,21.97,475050
2026-07-22,22,22.5,21.21,21.51,555861
2026-07-23,22.15,22.15,21,21.25,185629
2026-07-24,21.39,22.9,20.81,22.32,378736
2026-07-27,22.56,24.55,22.56,24.35,3373687
2026-07-28,24.5,26.79,23.7,26.79,14668681
2026-07-29,26.99,27.6,25.5,26.01,6726098
2026-07-30,25.51,28.61,25.2,28.61,8091487
2026-07-31,29,30,26.8,27.28,5159188
2026-08-03,27.5,27.6,24.55,24.55,5755427
2026-08-04,23.5,25.48,22.6,23.56,5225362
2026-08-05,24.02,24.6,23.5,23.95,995971
2026-08-06,24,24.24,23.51,23.64,305334
2026-08-07,23.7,24.75,23.51,23.75,503384
2026-08-10,23.78,24.3,23.25,23.53,405001
2026-08-11,23.79,23.79,22.9,23.16,674044
2026-08-12,22.9,23.7,22.71,23.27,284250
2026-08-13,23.49,23.6,22.7,22.81,435811
2026-08-17,23.45,23.45,22.45,22.68,386813
2026-08-18,22.71,22.9,22,22.1,475290
2026-08-19,21.55,22.39,21.5,21.57,642788
2026-08-20,21.99,22,21.3,21.39,286141
2026-08-21,21.85,22.99,21,22.37,628473
2026-08-24,22.5,22.5,21.6,21.75,126611
2026-08-25,22.08,22.5,20.8,21.04,577258
2026-08-27,21.04,21.75,20.8,21,308222
2026-08-28,20.81,21.47,20.81,20.97,78285
2026-08-31,21.11,21.39,20.52,20.8,52195
2026-09-01,20.3,21.35,20.3,20.49,89621
2026-09-02,20,21,19.95,20.77,383274
2026-09-03,20.92,20.99,20.03,20.29,83655
2026-09-04,20.19,20.7,19.9,20.38,386975
